day,april_1pm,april_6pm,april_8pm
1,67418,12984,56017
2,03863,69834,86936
3,28394,73681,31341
4,78956,38453,08669
5,76891,05716,35238
6,56347,75280,29521
7,16178,78826,19871
8,89784,53219,39778
9,27301,47408,64402
10,13247,04311,55069
11,02411,57839,23084
12,95131,24642,32633
13,23647,08263,27846
14,97813,27739,64002
15,19947,63204,01807
16,36447,50831,89421
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
